population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
6a57707348(21) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 6557764344(24) 
6557767344(20) 6557767348(21) 6a57767348(22) 6557764344(23) 6557764344(23) 6557764344(23) 6557764344(23) 6557764344(23) 6557764344(23) 6557764344(23) 
6557764345(15) 6557764345(15) 6557764345(15) 6557764348(19) 6a57764348(20) 6a57764348(20) 6a57764348(20) 6a57764348(20) 655a766345(22) 655a766345(22) 
6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 6557764344(15) 
6557766345(12) 6557766345(12) 6557766345(12) 6557766345(12) 6557766345(12) 6557766345(12) 6557764345(20) 6557764345(20) 6557764345(20) 6557764345(20) 
6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 
6557764344(20) 6557764344(20) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 
6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 6557764345(17) 
6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 6557764345(12) 
6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 6557764345(18) 
49577643a5(17) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 6557764345(21) 
15557a4345(19) 6454744345(20) 4957764345(20) 4957764345(20) 4957764345(20) 4957764345(20) 4957764345(20) 4957764345(20) 4957764345(20) 1557764345(21) 
1454744345(12) 1454744345(12) 6454744345(18) 6454744345(18) 2337864346(18) 45577643a5(19) 45577643a5(19) 45577643a5(19) 6557764345(20) 6557764345(20) 
63577643a5(14) 63577643a5(14) 63577643a5(14) 63577643a5(14) 63577643a5(14) 63577643a5(14) 6557764345(15) 6557764345(15) 6557764345(15) 6557764345(15) 
1357764345(14) 1357764345(14) 1357764345(14) 1457744345(14) 1357764345(14) 1457744345(14) 1457744345(14) 1357764345(14) 6357764345(14) 6357764345(14) 
63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 63577643a5(17) 
4357744345(18) 14547643a5(18) 1357744345(21) 1457744345(21) 1357744345(21) 1457744345(21) 1457744345(21) 1457744345(21) 1457744345(21) 1357744345(21) 
1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 1457744345(19) 
1457744325(19) 1457744325(19) 1457744325(19) 1457744325(19) 84a5744341(19) 7457744345(20) 7457744345(20) 7457744345(20) 7457744345(20) 7457744345(20) 
1454744345(13) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 7457744345(18) 
1454744345(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 1457744341(14) 
1357744345(21) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 7457744345(22) 
7357744345(16) 7357744345(16) 7357744345(16) 7357744345(16) 7357744345(16) 7357744345(16) 7357744345(16) 7357744345(16) 1457744345(17) 1457744345(17) 
1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 1457744345(20) 
1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1357744345(17) 1457744345(18) 
