population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


0174085469(16) 6379288357(16) 64a9223442(16) a305591a12(16) 2611685886(17) 3554a58729(17) 695667936a(18) a950245919(18) 3a61269496(18) 3229759144(19) 
4654667865(17) 4654667865(17) 4654667865(17) 4654667855(17) 4654667865(17) 4654667865(17) 4654667855(17) 4654667855(17) 4654667855(17) 4654667865(17) 
4654765856(10) 4654665a56(11) 4654667856(17) 4654667856(17) 4654745816(17) 4654745816(17) 4654667a55(17) 4654667a55(17) 4654667a55(17) 4654667a55(17) 
4654665816(14) 4654665816(14) 4654767a55(15) 4654665866(16) 4654665855(16) 4654665855(16) 4654665855(16) 4654665855(16) 4654665855(16) 4654745816(16) 
4654745856(15) 4654745856(15) 4654745856(15) 4654745856(15) 4654745856(15) 4654745856(15) 4654745856(15) 4654745856(15) 4654645855(16) 4654645855(16) 
4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 4654665856(17) 
4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 4654665856(20) 
4654745856(18) 4654745856(18) 4654665856(21) 4654665856(21) 4654665856(21) 4654665856(21) 4654665856(21) 4654665856(21) 4654665856(21) 4654665856(21) 
4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 4654665856(19) 
4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4654745856(16) 4687665856(18) 
4687742856(13) 4684765856(14) 4687662856(14) 4687662856(14) 4687662856(14) 4687662856(14) 4687662856(14) 4684765856(14) 4687662856(14) 4687662856(14) 
4654645856(16) 4654645856(16) 4654645856(16) 4684665856(17) 4687645856(18) 4687645856(18) 4687645856(18) 4687645856(18) 4687645856(18) 4687645856(18) 
4687765856(15) 4687765856(15) 4687745856(15) 4687645856(17) 4687645856(17) 4687645856(17) 4687645856(17) 4687645856(17) 4687645856(17) 4687645856(17) 
4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 4654645856(16) 
4687765856(17) 4687765856(17) 4687765856(17) 4687765856(17) 4687765856(17) 4687765856(17) 4687665856(19) 4687665856(19) 4654665856(19) 4654665856(19) 
4657765856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 
4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 4654645856(18) 
